Data file for DataLogger.;;
24/03/2016 20:15;1326.3;11.94
24/03/2016 20:20;1325.7;11.95
24/03/2016 20:25;1325.7;11.99
24/03/2016 20:30;1326.4;11.98
24/03/2016 20:35;1326.6;11.97
24/03/2016 20:40;1325.7;11.95
24/03/2016 20:45;1325.7;11.96
24/03/2016 20:50;1326.3;11.97
24/03/2016 20:55;1326.2;11.99
24/03/2016 21:00;1326.6;11.93
24/03/2016 21:05;1326.6;11.97
24/03/2016 21:10;1326.3;11.95
24/03/2016 21:15;1327.1;11.86
24/03/2016 21:20;1327.1;11.93
24/03/2016 21:25;1327.1;11.95
24/03/2016 21:30;1326.8;11.93
24/03/2016 21:35;1326.8;11.91
24/03/2016 21:40;1327.4;11.95
24/03/2016 21:45;1327.6;11.91
24/03/2016 21:50;1327.6;11.92
24/03/2016 21:55;1327.3;11.91
24/03/2016 22:00;1327.1;11.93
24/03/2016 22:05;1327.6;11.97
24/03/2016 22:10;1328.1;11.97
24/03/2016 22:15;1327.9;11.99
24/03/2016 22:20;1327.9;12
24/03/2016 22:25;1328.4;11.97
24/03/2016 22:30;1328.1;11.94
24/03/2016 22:35;1328.1;11.95
24/03/2016 22:40;1328.1;11.95
24/03/2016 22:45;1327.9;11.97
24/03/2016 22:50;1327.9;11.89
24/03/2016 22:55;1328.3;11.91
24/03/2016 23:00;1328;11.91
24/03/2016 23:05;1328.1;11.94
24/03/2016 23:10;1327.9;11.95
24/03/2016 23:15;1327.9;11.95
24/03/2016 23:20;1328.1;11.93
24/03/2016 23:25;1327.9;11.94
24/03/2016 23:30;1327.9;11.97
24/03/2016 23:35;1327.6;11.91
24/03/2016 23:40;1327.9;11.91
24/03/2016 23:45;1327.6;11.94
24/03/2016 23:50;1327.2;11.98
24/03/2016 23:55;1327.9;11.97
25/03/2016 0:00;1327.9;11.98
25/03/2016 0:05;1327.6;11.97
25/03/2016 0:10;1327.4;11.93
25/03/2016 0:15;1327.9;11.97
25/03/2016 0:20;1326.6;11.97
25/03/2016 0:25;1327.4;11.97
25/03/2016 0:30;1327.6;11.99
25/03/2016 0:35;1327.1;11.93
25/03/2016 0:40;1327.4;11.88
25/03/2016 0:45;1327.6;11.93
25/03/2016 0:50;1327.4;11.95
25/03/2016 0:55;1327.1;11.93
25/03/2016 1:00;1327.1;11.93
25/03/2016 1:05;1327.4;11.86
25/03/2016 1:10;1327.1;11.87
25/03/2016 1:15;1327.1;11.93
25/03/2016 1:20;1327.1;11.93
25/03/2016 1:25;1326.8;11.95
25/03/2016 1:30;1327.1;11.9
25/03/2016 1:35;1326.8;11.9
25/03/2016 1:40;1326.8;11.93
25/03/2016 1:45;1326.8;11.91
25/03/2016 1:50;1326.3;11.96
25/03/2016 1:55;1327.1;11.88
25/03/2016 2:00;1326.8;11.92
25/03/2016 2:05;1326.8;11.94
25/03/2016 2:10;1326.8;11.94
25/03/2016 2:15;1326.6;11.91
25/03/2016 2:20;1326.6;11.94
25/03/2016 2:25;1326.6;11.95
25/03/2016 2:30;1326.3;11.93
25/03/2016 2:35;1326;11.92
25/03/2016 2:40;1326;11.92
25/03/2016 2:45;1326;11.94
25/03/2016 2:50;1326;11.89
25/03/2016 2:55;1325.7;11.96
25/03/2016 3:00;1325.5;11.95
25/03/2016 3:05;1325.2;11.97
25/03/2016 3:10;1325.5;11.96
25/03/2016 3:15;1325.2;11.95
25/03/2016 3:20;1324.7;11.95
25/03/2016 3:25;1325.2;11.95
25/03/2016 3:30;1324.7;11.93
25/03/2016 3:35;1325.2;11.97
25/03/2016 3:40;1324.7;11.95
25/03/2016 3:45;1325.2;11.95
25/03/2016 3:50;1325.3;11.89
25/03/2016 3:55;1325.5;11.93
25/03/2016 4:00;1325.2;11.94
25/03/2016 4:05;1325.7;11.91
25/03/2016 4:10;1325.7;11.93
25/03/2016 4:15;1326.8;11.9
25/03/2016 4:20;1325.9;11.91
25/03/2016 4:25;1326.8;11.9
25/03/2016 4:30;1326.8;11.91
25/03/2016 4:35;1326.6;11.93
25/03/2016 4:40;1326.6;11.95
25/03/2016 4:45;1326.8;11.93
25/03/2016 4:50;1326.9;11.89
25/03/2016 4:55;1327.3;11.91
25/03/2016 5:00;1325.7;11.93
25/03/2016 5:05;1326.8;11.93
25/03/2016 5:10;1326;11.93
25/03/2016 5:15;1327.6;11.96
25/03/2016 5:20;1327.1;11.95
25/03/2016 5:25;1327.9;11.89
25/03/2016 5:30;1327.4;11.92
25/03/2016 5:35;1327.9;11.93
25/03/2016 5:40;1327.1;11.92
25/03/2016 5:45;1327.9;11.92
25/03/2016 5:50;1327.9;11.86
25/03/2016 5:55;1327.9;11.95
25/03/2016 6:00;1328.1;11.91
25/03/2016 6:05;1327.9;11.94
25/03/2016 6:10;1328.4;11.96
25/03/2016 6:15;1328.4;11.93
25/03/2016 6:20;1328.1;11.93
25/03/2016 6:25;1328.1;11.93
25/03/2016 6:30;1328.1;11.95
25/03/2016 6:35;1329;11.95
25/03/2016 6:40;1329;11.93
25/03/2016 6:45;1329.3;11.89
25/03/2016 6:50;1328.7;11.92
25/03/2016 6:55;1329.5;11.9
25/03/2016 7:00;1329.5;11.96
25/03/2016 7:05;1329.2;11.87
25/03/2016 7:10;1329.9;11.89
25/03/2016 7:15;1330.2;11.89
25/03/2016 7:20;1330.5;11.89
25/03/2016 7:25;1330.8;11.9
25/03/2016 7:30;1330.5;11.87
25/03/2016 7:35;1330.7;11.91
25/03/2016 7:40;1331.3;11.92
25/03/2016 7:45;1331.6;11.93
25/03/2016 7:50;1332;11.89
25/03/2016 7:55;1332.2;11.92
25/03/2016 8:00;1332.4;11.88
25/03/2016 8:05;1332.7;11.86
25/03/2016 8:10;1333.2;11.89
25/03/2016 8:15;1333.2;11.85
25/03/2016 8:20;1332.5;11.89
25/03/2016 8:25;1333.7;11.93
25/03/2016 8:30;1334.3;11.93
25/03/2016 8:35;1334;11.91
25/03/2016 8:40;1335;11.91
25/03/2016 8:45;1335.1;11.93
25/03/2016 8:50;1335.4;11.92
25/03/2016 8:55;1335.6;11.95
25/03/2016 9:00;1335.8;11.93
25/03/2016 9:05;1335.8;11.94
25/03/2016 9:10;1336.4;11.93
25/03/2016 9:15;1336.7;11.9
25/03/2016 9:20;1336.4;11.97
25/03/2016 9:25;1336.9;12.01
25/03/2016 9:30;1337.2;12.03
25/03/2016 9:35;1336.1;12.03
25/03/2016 9:40;1337.8;12.03
25/03/2016 9:45;1338;12.05
25/03/2016 9:50;1338.2;12.05
25/03/2016 9:55;1339;12.06
25/03/2016 10:00;1338.9;12.07
25/03/2016 10:05;1339;12.09
25/03/2016 10:10;1339.3;12.11
25/03/2016 10:15;1339.6;12.11
25/03/2016 10:20;1339.7;12.13
25/03/2016 10:25;1339;12.15
25/03/2016 10:30;1339.3;12.17
25/03/2016 10:35;1339.6;12.17
25/03/2016 10:40;1339.9;12.19
25/03/2016 10:45;1339.3;12.21
25/03/2016 10:50;1339.6;12.23
25/03/2016 10:55;1339.9;12.24
25/03/2016 11:00;1340.4;12.25
25/03/2016 11:05;1340.4;12.27
25/03/2016 11:10;1340.4;12.28
25/03/2016 11:15;1339.9;12.29
25/03/2016 11:20;1340.4;12.31
25/03/2016 11:25;1340.1;12.31
25/03/2016 11:30;1340.1;12.33
25/03/2016 11:35;1340.1;12.34
25/03/2016 11:40;1340.7;12.35
25/03/2016 11:45;1340.7;12.35
25/03/2016 11:50;1340.7;12.29
25/03/2016 11:55;1340.7;12.27
25/03/2016 12:00;1340.7;12.27
25/03/2016 12:05;1341.1;12.25
25/03/2016 12:10;1340.5;12.22
25/03/2016 12:15;1341.1;12.23
25/03/2016 12:20;1341.3;12.25
25/03/2016 12:25;1341.1;12.23
25/03/2016 12:30;1341.7;12.23
25/03/2016 12:35;1341.5;12.22
25/03/2016 12:40;1341.7;12.21
25/03/2016 12:45;1342.5;12.23
25/03/2016 12:50;1342.3;12.21
25/03/2016 12:55;1342.2;12.21
25/03/2016 13:00;1342.1;12.21
25/03/2016 13:05;1341.4;12.19
25/03/2016 13:10;1342;12.19
25/03/2016 13:15;1342.1;12.22
25/03/2016 13:20;1342.3;12.22
25/03/2016 13:25;1342.2;12.11
25/03/2016 13:30;1341.4;12.07
25/03/2016 13:35;1342.4;12.07
25/03/2016 13:40;1341.7;12.1
25/03/2016 13:45;1342.3;12.13
25/03/2016 13:50;1341.9;12.15
25/03/2016 13:55;1342.2;11.89
25/03/2016 14:00;1342;11.56
25/03/2016 14:05;1340.9;11.52
25/03/2016 14:10;1342.2;11.54
25/03/2016 14:15;1342.2;11.55
25/03/2016 14:20;1342.3;11.57
25/03/2016 14:25;1342.4;11.59
25/03/2016 14:30;1342.1;11.57
25/03/2016 14:35;1341.4;11.54
25/03/2016 14:40;1340.9;11.53
25/03/2016 14:45;1340.2;11.57
25/03/2016 14:50;1342;11.58
25/03/2016 14:55;1342.2;11.56
25/03/2016 15:00;1342.2;11.55
25/03/2016 15:05;1342.5;11.56
25/03/2016 15:10;1342.5;11.55
25/03/2016 15:15;1342.8;11.54
25/03/2016 15:20;1342.5;11.54
25/03/2016 15:25;1342;11.54
25/03/2016 15:30;1341.1;11.56
25/03/2016 15:35;1340.2;11.57
25/03/2016 15:40;1340.1;11.56
25/03/2016 15:45;1340.1;11.56
25/03/2016 15:50;1339.4;11.57
25/03/2016 15:55;1339.9;11.58
25/03/2016 16:00;1340.1;11.56
25/03/2016 16:05;1340.1;11.58
25/03/2016 16:10;1340.1;11.56
25/03/2016 16:15;1339.6;11.56
25/03/2016 16:20;1339.4;11.57
25/03/2016 16:25;1338.8;11.58
25/03/2016 16:30;1338.6;11.58
25/03/2016 16:35;1338.5;11.59
25/03/2016 16:40;1338.5;11.58
25/03/2016 16:45;1338.2;11.56
25/03/2016 16:50;1336.9;11.58
25/03/2016 16:55;1337.8;11.58
25/03/2016 17:00;1338;11.57
25/03/2016 17:05;1338.2;11.58
25/03/2016 17:10;1338;11.56
25/03/2016 17:15;1337.8;11.54
25/03/2016 17:20;1337.5;11.56
25/03/2016 17:25;1337.8;11.57
25/03/2016 17:30;1337.3;11.57
25/03/2016 17:35;1337.8;11.58
25/03/2016 17:40;1336.8;11.59
25/03/2016 17:45;1337.9;11.6
25/03/2016 17:50;1338.2;11.59
25/03/2016 17:55;1337.8;11.6
25/03/2016 18:00;1337.9;11.6
25/03/2016 18:05;1337.8;11.61
25/03/2016 18:10;1337.9;11.62
25/03/2016 18:15;1337.8;11.6
25/03/2016 18:20;1337.5;11.6
25/03/2016 18:25;1337.8;11.58
25/03/2016 18:30;1338.2;11.58
25/03/2016 18:35;1337.8;11.58
25/03/2016 18:40;1337.1;11.59
25/03/2016 18:45;1338.2;11.61
25/03/2016 18:50;1338.7;11.62
25/03/2016 18:55;1338.7;11.62
25/03/2016 19:00;1338.5;11.6
25/03/2016 19:05;1338.7;11.6
25/03/2016 19:10;1338.9;11.6
25/03/2016 19:15;1337.7;11.62
25/03/2016 19:20;1337.7;11.62
25/03/2016 19:25;1338.6;11.58
25/03/2016 19:30;1339;11.58
25/03/2016 19:35;1338.2;11.55
