Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 19/05/2016
TIME       : 12:57:22
FILENAME   : vei_t8320_160519125721_T8320.CSV
CREATED BY : SWS Diver-Office 5.0.25.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Mini-Diver=14
  Status                  =Started =0
  Serial number           =BB00-T8320  214.
  Instrument number       =                    
                          =0
  Location                =vei_t8320
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =750.0     cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Series settings]
  Serial number           =BB00-T8320  214.
  Instrument number       =                    
  Location                =vei_t8320
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:12 23/03/16
  End date / time         =00:55:11 19/05/16
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =750.0     cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Data]
16416
Date/time;Druk[cm];Temperatuur[°C]
2016/03/24 11:55:00;1035.1;9.53
2016/03/24 12:00:00;1035.1;9.53
2016/03/24 12:05:00;1035.3;9.53
2016/03/24 12:10:00;1035.4;9.54
2016/03/24 12:15:00;1035.3;9.54
2016/03/24 12:20:00;1035.3;9.54
2016/03/24 12:25:00;1035.3;9.54
2016/03/24 12:30:00;1035.1;9.54
2016/03/24 12:35:00;1035.1;9.55
2016/03/24 12:40:00;1035.1;9.54
2016/03/24 12:45:00;1035.1;9.55
2016/03/24 12:50:00;1035.1;9.55
2016/03/24 12:55:00;1035.1;9.55
2016/03/24 13:00:00;1035.1;9.55
2016/03/24 13:05:00;1035.1;9.55
2016/03/24 13:10:00;1035.1;9.55
2016/03/24 13:15:00;1035.1;9.55
2016/03/24 13:20:00;1035.1;9.55
2016/03/24 13:25:00;1035.0;9.55
2016/03/24 13:30:00;1035.0;9.55
2016/03/24 13:35:00;1035.0;9.55
2016/03/24 13:40:00;1034.8;9.55
2016/03/24 13:45:00;1034.8;9.55
2016/03/24 13:50:00;1034.7;9.55
2016/03/24 13:55:00;1034.7;9.55
2016/03/24 14:00:00;1034.8;9.55
2016/03/24 14:05:00;1034.9;9.56
2016/03/24 14:10:00;1034.8;9.55
2016/03/24 14:15:00;1034.9;9.56
2016/03/24 14:20:00;1034.9;9.56
2016/03/24 14:25:00;1035.0;9.56
2016/03/24 14:30:00;1034.9;9.56
2016/03/24 14:35:00;1034.7;9.56
2016/03/24 14:40:00;1034.8;9.57
2016/03/24 14:45:00;1034.5;9.56
2016/03/24 14:50:00;1034.7;9.56
2016/03/24 14:55:00;1034.7;9.57
2016/03/24 15:00:00;1034.7;9.57
2016/03/24 15:05:00;1034.5;9.57
2016/03/24 15:10:00;1034.5;9.57
2016/03/24 15:15:00;1034.5;9.57
2016/03/24 15:20:00;1034.5;9.57
2016/03/24 15:25:00;1034.5;9.57
2016/03/24 15:30:00;1034.3;9.57
2016/03/24 15:35:00;1034.2;9.57
2016/03/24 15:40:00;1034.5;9.57
2016/03/24 15:45:00;1034.5;9.57
2016/03/24 15:50:00;1034.5;9.57
2016/03/24 15:55:00;1034.5;9.57
2016/03/24 16:00:00;1034.5;9.57
2016/03/24 16:05:00;1034.3;9.57
2016/03/24 16:10:00;1034.3;9.57
2016/03/24 16:15:00;1034.3;9.57
2016/03/24 16:20:00;1034.3;9.57
2016/03/24 16:25:00;1034.5;9.57
2016/03/24 16:30:00;1034.3;9.57
2016/03/24 16:35:00;1034.2;9.58
2016/03/24 16:40:00;1034.2;9.58
2016/03/24 16:45:00;1034.2;9.58
2016/03/24 16:50:00;1034.2;9.58
2016/03/24 16:55:00;1034.2;9.58
2016/03/24 17:00:00;1034.2;9.58
2016/03/24 17:05:00;1034.4;9.58
2016/03/24 17:10:00;1034.2;9.58
2016/03/24 17:15:00;1034.4;9.58
2016/03/24 17:20:00;1034.3;9.59
2016/03/24 17:25:00;1034.4;9.58
2016/03/24 17:30:00;1034.4;9.58
2016/03/24 17:35:00;1034.4;9.58
2016/03/24 17:40:00;1034.2;9.58
2016/03/24 17:45:00;1034.2;9.58
2016/03/24 17:50:00;1034.2;9.59
2016/03/24 17:55:00;1034.2;9.59
2016/03/24 18:00:00;1034.3;9.59
2016/03/24 18:05:00;1034.2;9.59
2016/03/24 18:10:00;1034.2;9.59
2016/03/24 18:15:00;1034.3;9.59
2016/03/24 18:20:00;1034.2;9.59
2016/03/24 18:25:00;1034.3;9.59
2016/03/24 18:30:00;1034.3;9.59
2016/03/24 18:35:00;1034.3;9.59
2016/03/24 18:40:00;1034.3;9.59
2016/03/24 18:45:00;1034.3;9.59
2016/03/24 18:50:00;1034.3;9.59
2016/03/24 18:55:00;1034.3;9.59
2016/03/24 19:00:00;1034.2;9.59
2016/03/24 19:05:00;1034.3;9.59
2016/03/24 19:10:00;1034.3;9.59
2016/03/24 19:15:00;1034.3;9.59
2016/03/24 19:20:00;1034.2;9.59
2016/03/24 19:25:00;1034.2;9.59
2016/03/24 19:30:00;1034.2;9.59
2016/03/24 19:35:00;1034.2;9.59
2016/03/24 19:40:00;1034.3;9.59
2016/03/24 19:45:00;1034.2;9.59
2016/03/24 19:50:00;1034.3;9.59
2016/03/24 19:55:00;1034.6;9.60
2016/03/24 20:00:00;1034.5;9.60
2016/03/24 20:05:00;1034.5;9.60
2016/03/24 20:10:00;1034.5;9.60
2016/03/24 20:15:00;1034.6;9.60
2016/03/24 20:20:00;1034.5;9.60
2016/03/24 20:25:00;1034.6;9.60
2016/03/24 20:30:00;1034.3;9.61
2016/03/24 20:35:00;1034.6;9.60
2016/03/24 20:40:00;1034.5;9.60
2016/03/24 20:45:00;1034.5;9.61
2016/03/24 20:50:00;1034.5;9.60
2016/03/24 20:55:00;1034.5;9.61
2016/03/24 21:00:00;1034.5;9.61
2016/03/24 21:05:00;1034.3;9.61
2016/03/24 21:10:00;1034.3;9.61
2016/03/24 21:15:00;1034.3;9.61
2016/03/24 21:20:00;1034.1;9.61
2016/03/24 21:25:00;1034.1;9.61
2016/03/24 21:30:00;1034.1;9.61
2016/03/24 21:35:00;1034.0;9.61
2016/03/24 21:40:00;1033.9;9.61
2016/03/24 21:45:00;1033.9;9.61
2016/03/24 21:50:00;1033.7;9.61
2016/03/24 21:55:00;1033.7;9.61
2016/03/24 22:00:00;1033.7;9.61
2016/03/24 22:05:00;1033.6;9.61
2016/03/24 22:10:00;1033.6;9.61
2016/03/24 22:15:00;1033.7;9.62
2016/03/24 22:20:00;1033.5;9.62
2016/03/24 22:25:00;1033.5;9.62
2016/03/24 22:30:00;1033.5;9.62
2016/03/24 22:35:00;1033.4;9.62
2016/03/24 22:40:00;1033.4;9.62
2016/03/24 22:45:00;1033.4;9.62
2016/03/24 22:50:00;1033.2;9.62
2016/03/24 22:55:00;1033.2;9.62
2016/03/24 23:00:00;1033.2;9.63
2016/03/24 23:05:00;1033.2;9.63
2016/03/24 23:10:00;1033.2;9.63
2016/03/24 23:15:00;1033.2;9.63
2016/03/24 23:20:00;1033.3;9.63
2016/03/24 23:25:00;1033.2;9.63
2016/03/24 23:30:00;1033.2;9.63
2016/03/24 23:35:00;1033.2;9.63
2016/03/24 23:40:00;1033.0;9.63
2016/03/24 23:45:00;1033.0;9.63
2016/03/24 23:50:00;1033.0;9.63
2016/03/24 23:55:00;1033.2;9.63
2016/03/25 00:00:00;1033.0;9.63
2016/03/25 00:05:00;1032.9;9.64
2016/03/25 00:10:00;1032.9;9.63
2016/03/25 00:15:00;1032.9;9.64
2016/03/25 00:20:00;1032.7;9.64
2016/03/25 00:25:00;1032.9;9.64
2016/03/25 00:30:00;1032.7;9.64
2016/03/25 00:35:00;1032.9;9.64
2016/03/25 00:40:00;1032.9;9.64
2016/03/25 00:45:00;1032.9;9.64
2016/03/25 00:50:00;1032.7;9.64
2016/03/25 00:55:00;1032.5;9.64
2016/03/25 01:00:00;1032.5;9.65
2016/03/25 01:05:00;1032.5;9.65
2016/03/25 01:10:00;1032.4;9.65
2016/03/25 01:15:00;1032.4;9.65
2016/03/25 01:20:00;1032.2;9.65
2016/03/25 01:25:00;1032.2;9.65
2016/03/25 01:30:00;1032.2;9.65
2016/03/25 01:35:00;1032.2;9.65
2016/03/25 01:40:00;1032.2;9.65
2016/03/25 01:45:00;1032.0;9.65
2016/03/25 01:50:00;1032.2;9.65
2016/03/25 01:55:00;1032.2;9.65
2016/03/25 02:00:00;1032.0;9.65
2016/03/25 02:05:00;1032.0;9.65
2016/03/25 02:10:00;1032.0;9.65
2016/03/25 02:15:00;1031.9;9.65
2016/03/25 02:20:00;1031.9;9.65
2016/03/25 02:25:00;1032.0;9.66
2016/03/25 02:30:00;1032.0;9.66
2016/03/25 02:35:00;1032.0;9.66
2016/03/25 02:40:00;1031.9;9.66
2016/03/25 02:45:00;1031.9;9.66
2016/03/25 02:50:00;1031.7;9.66
2016/03/25 02:55:00;1031.9;9.66
2016/03/25 03:00:00;1031.5;9.67
2016/03/25 03:05:00;1031.5;9.66
2016/03/25 03:10:00;1031.5;9.67
2016/03/25 03:15:00;1031.5;9.67
2016/03/25 03:20:00;1031.4;9.67
2016/03/25 03:25:00;1031.5;9.67
2016/03/25 03:30:00;1031.4;9.67
2016/03/25 03:35:00;1031.2;9.67
2016/03/25 03:40:00;1031.2;9.67
2016/03/25 03:45:00;1031.2;9.67
2016/03/25 03:50:00;1031.1;9.68
2016/03/25 03:55:00;1031.1;9.68
2016/03/25 04:00:00;1031.1;9.68
2016/03/25 04:05:00;1030.9;9.68
2016/03/25 04:10:00;1030.9;9.68
2016/03/25 04:15:00;1030.9;9.68
2016/03/25 04:20:00;1030.7;9.68
2016/03/25 04:25:00;1030.7;9.68
2016/03/25 04:30:00;1030.6;9.68
2016/03/25 04:35:00;1030.7;9.68
2016/03/25 04:40:00;1030.7;9.68
2016/03/25 04:45:00;1030.7;9.68
2016/03/25 04:50:00;1030.4;9.68
2016/03/25 04:55:00;1030.4;9.68
2016/03/25 05:00:00;1030.4;9.68
2016/03/25 05:05:00;1030.4;9.68
2016/03/25 05:10:00;1030.3;9.68
2016/03/25 05:15:00;1030.4;9.68
2016/03/25 05:20:00;1030.4;9.68
2016/03/25 05:25:00;1030.4;9.68
2016/03/25 05:30:00;1030.3;9.68
2016/03/25 05:35:00;1030.3;9.68
2016/03/25 05:40:00;1030.1;9.69
2016/03/25 05:45:00;1030.1;9.69
2016/03/25 05:50:00;1030.1;9.69
2016/03/25 05:55:00;1029.9;9.69
2016/03/25 06:00:00;1030.1;9.69
2016/03/25 06:05:00;1029.9;9.69
2016/03/25 06:10:00;1029.9;9.69
2016/03/25 06:15:00;1029.9;9.69
2016/03/25 06:20:00;1029.9;9.69
2016/03/25 06:25:00;1029.9;9.69
2016/03/25 06:30:00;1029.9;9.70
2016/03/25 06:35:00;1029.9;9.69
2016/03/25 06:40:00;1029.9;9.70
2016/03/25 06:45:00;1029.9;9.70
2016/03/25 06:50:00;1029.9;9.70
2016/03/25 06:55:00;1029.9;9.70
2016/03/25 07:00:00;1029.9;9.70
