array_sum: 0.014399 s (10000000.0)
sum: 0.011866 s (10000000.0)
py_sum: 4.600296 s (10000000.0)
         43255 function calls (41217 primitive calls) in 4.794 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        1    0.000    0.000    0.001    0.001 nosetester.py:6(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
        3    0.000    0.000    0.000    0.000 argparse.py:1361(_add_action)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
        6    0.000    0.000    0.000    0.000 hashlib.py:98(__get_openssl_constructor)
        9    0.000    0.000    0.000    0.000 core.py:2510(getdoc)
       45    0.000    0.000    0.000    0.000 {built-in method divmod}
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
        1    0.000    0.000    0.002    0.002 __init__.py:335(__init__)
        3    0.000    0.000    0.000    0.000 contextlib.py:96(contextmanager)
        1    0.000    0.000    0.000    0.000 timeit.py:49(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:210(__init__)
        1    0.000    0.000    0.006    0.006 numeric.py:141(ones)
        2    0.000    0.000    0.000    0.000 {method 'find_loader' of 'zipimport.zipimporter' objects}
        9    0.000    0.000    0.000    0.000 core.py:2504(__init__)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x417824ac}
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
        4    0.000    0.000    0.000    0.000 core.py:86(doc_note)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2187(_sanity_check)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:141(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:117(deprecate)
       34    0.000    0.000    0.000    0.000 sre_parse.py:146(__setitem__)
        2    0.000    0.000    0.000    0.000 {built-in method putenv}
        1    0.000    0.000    0.000    0.000 argparse.py:1734(parse_known_args)
       29    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
